question_id,local_question,en_question,local_answer_valid,en_answer_valid,country,control_prompts,persona_prompts,language_prompts,control_output,persona_output,language_output
Al-en-21,¿Qué asignatura es la más importante para la educación de los superdotados en España?,Which subject is the most important for gifted education in Spain?,"['fisica', 'matemáticas', 'quimica']","['physics', 'mathematics', 'math', 'chemistry']",Spain,Which subject is the most important for gifted education in Spain? Provide a single answer without any explanations.,"As a person from Spain, which subject is the most important for gifted education in Spain? Provide a single answer without any explanations.",¿Qué asignatura es la más importante para la educación de los superdotados en España? Provide a single answer without any explanations.,Mathematics.,"STEM (Science, Technology, Engineering, and Mathematics)",Matemáticas.
Al-en-32,¿Cuál es el plato principal para el Día de Acción de Gracias en España?,What is the main dish for Thanksgiving in Spain?,[],[],Spain,What is the main dish for Thanksgiving in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the main dish for Thanksgiving in Spain? Provide a single answer without any explanations.",¿Cuál es el plato principal para el Día de Acción de Gracias en España? Provide a single answer without any explanations.,Cordero asado (roast lamb).,Cocido Madrileño.,El plato principal tradicional del Día de Acción de Gracias en España es el **pavo con salsa de arándanos**.
Al-en-33,¿Qué hacen las personas para celebrar Halloween en España?,What do people do to celebrate Halloween in Spain?,"['disfrazarse', 'fiestas de disfraces', 'truco o trato', 'fiestas con amigos']","['to dress up', 'costume parties', 'trick or treat', 'parties', 'parties with friends']",Spain,What do people do to celebrate Halloween in Spain? Provide a single answer without any explanations.,"As a person from Spain, what do people do to celebrate Halloween in Spain? Provide a single answer without any explanations.",¿Qué hacen las personas para celebrar Halloween en España? Provide a single answer without any explanations.,"People in Spain celebrate Halloween by dressing up in costumes, visiting haunted houses, watching horror movies, and enjoying sweet treats like ""calabaza"" (pumpkin) treats.","In Spain, people celebrate Halloween by dressing up in costumes, enjoying trick-or-treating, watching horror movies, and participating in community events like costume parades and parties.","Las personas en España celebran Halloween con disfraces, decoraciones temáticas, juegos de terror, películas de miedo, y en algunas zonas, eventos como ""Noche de los Muertos"" o ""Fiesta de los Zombis""."
Al-en-34,¿Qué hacen las personas para celebrar el Año Nuevo en España?,What do people do to celebrate New Year's Day in Spain?,"['comer uvas a las 12', 'toman uvas', 'tomar uvas', 'cotillón', 'cena con familia y luego salir a algún pub/discoteca', 'comer con la familia', 'tomar el aperitivo con los amigos']","['eat grapes at 12', 'eat grapes', 'new year’s eve party', 'dinner with family and then go out to a pub/nightclub', 'eat with the family', 'have appetizers with friends']",Spain,What do people do to celebrate New Year's Day in Spain? Provide a single answer without any explanations.,"As a person from Spain, what do people do to celebrate New Year's Day in Spain? Provide a single answer without any explanations.",¿Qué hacen las personas para celebrar el Año Nuevo en España? Provide a single answer without any explanations.,"People in Spain celebrate New Year's Day by lighting fireworks, attending parties, and enjoying traditional foods like paella and churros.","People in Spain celebrate New Year's Day by going to the beach, enjoying fireworks, and having a traditional meal with family and friends.","Las personas en España celebran el Año Nuevo con fuegos artificiales, fuegos de artificio, fuegos artificiales, fuegos artificiales, fuegos artificiales, fuegos artificiales, fuegos artificiales, fuegos"
Al-en-35,¿Qué hacen las personas para celebrar la Navidad en España?,What do people do to celebrate Christmas in Spain?,"['reunirse para comer', 'comida', 'comer con la familia', 'cena familiar', 'comida de navidad', 'cenar en Nochebuena', 'cena', 'ver las luces', 'comer con los amigos', 'ver las luces de navidad', 'visitar belenes']","['dinner', 'lunch', 'meet to eat', 'eat with the family', 'family dinner', 'christmas meal', 'lunch on christmas', 'dinner on christmas eve', 'see christmas lights', 'they are going to see the lights', 'to eat with friends', 'visit nativity scenes']",Spain,What do people do to celebrate Christmas in Spain? Provide a single answer without any explanations.,"As a person from Spain, what do people do to celebrate Christmas in Spain? Provide a single answer without any explanations.",¿Qué hacen las personas para celebrar la Navidad en España? Provide a single answer without any explanations.,"People in Spain celebrate Christmas with family gatherings, traditional foods like turkeys and jamón ibérico, festive markets, and the exchange of gifts, often accompanied by carols and the lighting of Christmas trees.","People in Spain celebrate Christmas with a mix of religious traditions, family gatherings, and festive customs, often including the exchange of *polvorones* and *mazapán*, and enjoying *turrón* and *churros con chocolate*.","Las personas en España celebran la Navidad con reuniones familiares, intercambios de regalos, decoraciones navideñas, comidas tradicionales como el turrón y la mazapán, y actividades como ver películas navideñas y disfrutar de la"
Al-en-36,¿Qué comida se asocia con Halloween en España?,What food is associated with Halloween in Spain?,"['buñuelos', 'castañas', 'gachas', 'bizcocho de calabaza']","['fritters', 'chestnuts', 'porridge', 'pumpkin sponge cake']",Spain,What food is associated with Halloween in Spain? Provide a single answer without any explanations.,"As a person from Spain, what food is associated with Halloween in Spain? Provide a single answer without any explanations.",¿Qué comida se asocia con Halloween en España? Provide a single answer without any explanations.,Pumpkin pastries.,Calabaza en calabaza.,Calabaza con dulce de leche.
Al-en-37,¿Qué comida se asocia con la Navidad en España?,What food is associated with Christmas in Spain?,"['cochinillo', 'lechona', 'cocido', 'pavo', 'turrón', 'gambas', 'marisco']","['suckling pig', 'stew', 'turkey', 'nougat', 'shrimp', 'prawns', 'seafood']",Spain,What food is associated with Christmas in Spain? Provide a single answer without any explanations.,"As a person from Spain, what food is associated with Christmas in Spain? Provide a single answer without any explanations.",¿Qué comida se asocia con la Navidad en España? Provide a single answer without any explanations.,Turrón,Turrón,Pavo con melocotón.
Al-en-38,¿Qué comida se asocia con el día de San Valentín en España?,What food is associated with Valentine's day in Spain?,"['bombones', 'chocolate']","['chocolates', 'chocolate']",Spain,What food is associated with Valentine's day in Spain? Provide a single answer without any explanations.,"As a person from Spain, what food is associated with Valentine's day in Spain? Provide a single answer without any explanations.",¿Qué comida se asocia con el día de San Valentín en España? Provide a single answer without any explanations.,Churros con chocolate,Churros con chocolate,Cocido madrileño.
Al-en-39,¿Qué comen las personas en su cumpleaños en España?,What do people eat on their birthday in Spain?,"['tarta', 'pastel', 'chuches, chucherias', 'golosinas', 'Coca-Cola']","['cake', 'candies', 'sweets', 'coke', 'coca cola']",Spain,What do people eat on their birthday in Spain? Provide a single answer without any explanations.,"As a person from Spain, what do people eat on their birthday in Spain? Provide a single answer without any explanations.",¿Qué comen las personas en su cumpleaños en España? Provide a single answer without any explanations.,Paella.,Paella.,Tarta de cumpleaños.
Al-en-40,¿Cuál es un lugar al aire libre popular para que las familias se diviertan con niños pequeños en España?,What is a popular outdoor place for families to have fun with little kids in Spain?,"['plazas', 'parques', 'parque', 'plaza', 'campo', 'parques naturales', 'playa', 'parque de atracciones', 'zoo', 'playa', 'río']","['squares', 'parks', 'park', 'square', 'field', 'natural parks', 'beach', 'amusement park', 'zoo', 'beach', 'river']",Spain,What is a popular outdoor place for families to have fun with little kids in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is a popular outdoor place for families to have fun with little kids in Spain? Provide a single answer without any explanations.",¿Cuál es un lugar al aire libre popular para que las familias se diviertan con niños pequeños en España? Provide a single answer without any explanations.,Parque de Atracciones de Madrid.,Parque de la Ciutadella in Barcelona.,El Parque de Atracciones de Madrid.
Al-en-43,¿Cuál es una actividad de interior popular para las familias en España?,What is a popular indoor activity for families in Spain?,"['fiestas', 'ir al parque por la tarde', 'fallas', 'pilares', 'jugar a las cartas', 'juegos de mesa']","['parties', 'party', 'go to the park in the afternoon', 'go to the park', 'failures', 'pillars', 'play cards', 'board games']",Spain,What is a popular indoor activity for families in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is a popular indoor activity for families in Spain? Provide a single answer without any explanations.",¿Cuál es una actividad de interior popular para las familias en España? Provide a single answer without any explanations.,Visiting theme parks like PortAventura World.,Visiting a theme park like PortAventura World.,Visitar parques temáticos como PortAventura World.
An-ar-02,¿Dónde almuerzan los estudiantes universitarios en España?,Where do university students have lunch in Spain?,"['en bares cercanos a la universidad', 'cafetería', 'en la cafetería', 'cafetería universidad', 'en casa', 'casa']","['in bars close to the university', 'cafeteria', 'in the cafeteria', 'university cafeteria', 'home', 'at home', 'house']",Spain,Where do university students have lunch in Spain? Provide a single answer without any explanations.,"As a person from Spain, where do university students have lunch in Spain? Provide a single answer without any explanations.",¿Dónde almuerzan los estudiantes universitarios en España? Provide a single answer without any explanations.,Universities often have cafeterias or canteens where students eat lunch.,Universidad.,"En las cafeterías universitarias, restaurantes de comida rápida, y en los patios de la universidad."
An-ar-03,¿En qué mes se suele programar el período de exámenes finales en los institutos de España? (Indica solo con números del 1 al 12).,Which month is the final exam term usually scheduled at high schools in Spain? (Provide Arabic numerals (1~12) only.),"['6', '5']","['6', '5']",Spain,Which month is the final exam term usually scheduled at high schools in Spain? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.,"As a person from Spain, which month is the final exam term usually scheduled at high schools in Spain? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.",¿En qué mes se suele programar el período de exámenes finales en los institutos de España? (Indica solo con números del 1 al 12). Provide a single answer without any explanations.,9,3,11
An-ar-08,"¿Cuántas horas al día suelen pasar los estudiantes en el instituto en España? (Indica el número en números enteros (0~24), sin ningún decimal.)","How many hours a day do students in Spain usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","['6', '8', '7']","['6', '8', '7']",Spain,"How many hours a day do students in Spain usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.) Provide a single answer without any explanations.","As a person from Spain, how many hours a day do students in Spain usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.) Provide a single answer without any explanations.","¿Cuántas horas al día suelen pasar los estudiantes en el instituto en España? (Indica el número en números enteros (0~24), sin ningún decimal.) Provide a single answer without any explanations.",4,4,2
An-ar-09,"¿Cuántos idiomas estudian los alumnos en el instituto en España? (Indica solo en números, por ejemplo, 5.)","How many languages do students study at high school in Spain? (Provide Arabic numerals (e.g., 5) only.)","['3', '2', '1']","['3', '2', '1']",Spain,"How many languages do students study at high school in Spain? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","As a person from Spain, how many languages do students study at high school in Spain? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","¿Cuántos idiomas estudian los alumnos en el instituto en España? (Indica solo en números, por ejemplo, 5.) Provide a single answer without any explanations.",5,4,4
An-ar-34,¿Cuál es el deporte de equipo más popular que se juega en las escuelas en España?,What is the most popular sport played in a team at school in Spain?,"['futbol', 'baloncesto', 'fornite']","['soccer', 'football', 'basketball', 'fornite']",Spain,What is the most popular sport played in a team at school in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the most popular sport played in a team at school in Spain? Provide a single answer without any explanations.",¿Cuál es el deporte de equipo más popular que se juega en las escuelas en España? Provide a single answer without any explanations.,Football.,Fútbol,Fútbol.
An-ar-35,¿Quién es el comentarista deportivo más popular en España?,Who is the most popular sport commentator in Spain?,"['jose maria garcia', 'josé maría garcía', 'andres montes', 'pedrerol', 'sergio knekro garcia', 'manolo lama', 'ibai']","['jose maria garcia', 'josé maría garcía', 'andres montes', 'pedrerol', 'josep pedrerol', 'sergio knekro garcia', 'manolo lama', 'ibai llanos', 'ibai']",Spain,Who is the most popular sport commentator in Spain? Provide a single answer without any explanations.,"As a person from Spain, who is the most popular sport commentator in Spain? Provide a single answer without any explanations.",¿Quién es el comentarista deportivo más popular en España? Provide a single answer without any explanations.,Carlos Míguez.,Carlos Del Olmo,Javier Marzal.
An-ar-36,¿Cuál es el equipo deportivo más popular en España?,What is the most popular sport team in Spain?,"['real madrid', 'real madrid fútbol', 'fc barcelona', 'barcelona fútbol']","['real madrid', 'real madrid soccer', 'real madrid football', 'fc barcelona', 'barcelona football', 'barcelona soccer']",Spain,What is the most popular sport team in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the most popular sport team in Spain? Provide a single answer without any explanations.",¿Cuál es el equipo deportivo más popular en España? Provide a single answer without any explanations.,Real Madrid.,Real Madrid.,Real Madrid C.F.
An-ar-43,¿Cuáles son los lugares o establecimientos habituales donde la gente en España suele reunirse para ver las retransmisiones deportivas?,What are the common places or venues where individuals in Spain usually gather to watch sports broadcasts?,"['bar', 'bares', 'en casa', 'restaurante']","['pub', 'bar', 'bars', 'at home', 'restaurant']",Spain,What are the common places or venues where individuals in Spain usually gather to watch sports broadcasts? Provide a single answer without any explanations.,"As a person from Spain, what are the common places or venues where individuals in Spain usually gather to watch sports broadcasts? Provide a single answer without any explanations.",¿Cuáles son los lugares o establecimientos habituales donde la gente en España suele reunirse para ver las retransmisiones deportivas? Provide a single answer without any explanations.,"Bar, sports bars, and family homes.","Bar, sports bars, and family homes.","Estadios deportivos, bares deportivos, restaurantes, plazas públicas, y plataformas de streaming."
Ca-sp-05,"¿Cuántas comidas al día suelen tener las personas de España? (Porporciona la respuesta en números (por ejemplo, 5).)","How many meals per day do people from Spain usually have? (Provide Arabic numerals (e.g., 5) only.)","['3', '4']","['3', '4']",Spain,"How many meals per day do people from Spain usually have? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","As a person from Spain, how many meals per day do people from Spain usually have? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","¿Cuántas comidas al día suelen tener las personas de España? (Porporciona la respuesta en números (por ejemplo, 5).) Provide a single answer without any explanations.",3,3,3
Ca-sp-06,¿Cuál es la comida más importante del día para la gente de España?,Which is the most important meal of the day to people from Spain?,"['la comida del mediodía', 'comida', 'el almuerzo', 'desayuno']","['the midday meal', 'lunch', 'breakfast']",Spain,Which is the most important meal of the day to people from Spain? Provide a single answer without any explanations.,"As a person from Spain, which is the most important meal of the day to people from Spain? Provide a single answer without any explanations.",¿Cuál es la comida más importante del día para la gente de España? Provide a single answer without any explanations.,Lunch.,Comida.,El desayuno.
Ca-sp-08,¿Cuál es el ingrediente más común utilizado en la dieta española?,What is the most common ingredient used in Spain's diet?,"['aceite de oliva', 'arroz', 'patata', 'sal', 'garbanzos']","['olive oil', 'rice', 'potato', 'salt', 'chickpeas']",Spain,What is the most common ingredient used in Spain's diet? Provide a single answer without any explanations.,"As a person from Spain, what is the most common ingredient used in Spain's diet? Provide a single answer without any explanations.",¿Cuál es el ingrediente más común utilizado en la dieta española? Provide a single answer without any explanations.,Olive oil.,Olive oil.,Aceite de oliva.
Ca-sp-09,¿Qué suelen comer los españoles de postre?,What do people from Spain usually eat for dessert?,"['fruta', 'natillas', 'arroz con leche', 'flan', 'yogur', 'tarta de santiago', 'churros con chocolate']","['fruit', 'natillas', 'spanish custard', 'rice pudding', 'custard', 'yogurt', 'santiago cake', 'tarta de santiago', 'churros with chocolate']",Spain,What do people from Spain usually eat for dessert? Provide a single answer without any explanations.,"As a person from Spain, what do people from Spain usually eat for dessert? Provide a single answer without any explanations.",¿Qué suelen comer los españoles de postre? Provide a single answer without any explanations.,"Tarta de Santiago, churros con chocolate, or flan.",Tarta de Santiago.,"Tarta de Santiago, crema catalana, flan, churros con chocolate."
Ca-sp-11,¿Qué día de la semana suelen organizar una comida familiar en España?,Which day of the week do people usually organize a family meal in Spain?,"['domingo', 'sábado']","['sunday', 'saturday']",Spain,Which day of the week do people usually organize a family meal in Spain? Provide a single answer without any explanations.,"As a person from Spain, which day of the week do people usually organize a family meal in Spain? Provide a single answer without any explanations.",¿Qué día de la semana suelen organizar una comida familiar en España? Provide a single answer without any explanations.,Saturday.,Saturday.,Viernes.
Ca-sp-14,¿Cuál es la bebida caliente más popular en España?,Which is the most popular hot drink in Spain?,"['cafe', 'café', 'chocolate', 'infusión']","['coffee', 'chocolate', 'infusion']",Spain,Which is the most popular hot drink in Spain? Provide a single answer without any explanations.,"As a person from Spain, which is the most popular hot drink in Spain? Provide a single answer without any explanations.",¿Cuál es la bebida caliente más popular en España? Provide a single answer without any explanations.,Café con leche.,Chai.,Café con leche.
Ca-sp-19,¿Qué suelen beber los jóvenes de España en la discoteca?,What do young people from Spain usually drink at the night club?,"['ron cola', 'ron whisky', 'ron', 'gin tonic', 'ginebra con refresco', 'ginebra tonica', 'vodka con refresco', 'vodka', 'cubatas', 'cerveza']","['rum and coke', 'rum whiskey', 'rum', 'gin and tonic', 'gin with soda', 'vodka with soda', 'vodka', 'mixed drinks', 'beer']",Spain,What do young people from Spain usually drink at the night club? Provide a single answer without any explanations.,"As a person from Spain, what do young people from Spain usually drink at the night club? Provide a single answer without any explanations.",¿Qué suelen beber los jóvenes de España en la discoteca? Provide a single answer without any explanations.,Sangria,Sangria,"Refrescos, agua con gas y cervezas ligeras."
Ca-sp-21,¿En qué mes suelen las personas tomar vacaciones en España? (Proporciona la respuesta en números del 1 al 12).,At which month do people usually take holidays in Spain? (Provide Arabic numerals (1~12) only.),['8'],['8'],Spain,At which month do people usually take holidays in Spain? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.,"As a person from Spain, at which month do people usually take holidays in Spain? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.",¿En qué mes suelen las personas tomar vacaciones en España? (Proporciona la respuesta en números del 1 al 12). Provide a single answer without any explanations.,7,7,1
Ca-sp-29,¿Qué tradición hay en España para Nochevieja?,What tradition is there in Spain for New Year's Eve?,"['comer las uvas al ritmo del reloj de la plaza', 'comer 12 uvas con las campanadas', 'tomar las uvas', 'comer uvas', 'campanadas', 'tomar uvas', 'celebración en familia', 'comer', 'usar ropa interior roja']","['eat the grapes to the rhythm of the clock in the square', 'eat 12 grapes with the chimes', 'eat the grapes', 'eat grapes', 'chimes', 'family celebration', 'to eat', 'wear red underwear']",Spain,What tradition is there in Spain for New Year's Eve? Provide a single answer without any explanations.,"As a person from Spain, what tradition is there in Spain for New Year's Eve? Provide a single answer without any explanations.",¿Qué tradición hay en España para Nochevieja? Provide a single answer without any explanations.,La Tomatina.,La Tomatina.,La tradición más importante es la de hacer un brindis con champán a la medianoche para desear buena suerte y prosperidad en el año nuevo.
Ca-sp-38,¿Cuál es el tipo de casa típico para una familia en España?,Which is the typical type of house for a family in Spain?,"['piso', 'piso en edificio de viviendas', 'unifamiliar', 'chalet']","['flat', 'apartment', 'apartment in a residential building', 'single-family', 'detached house']",Spain,Which is the typical type of house for a family in Spain? Provide a single answer without any explanations.,"As a person from Spain, which is the typical type of house for a family in Spain? Provide a single answer without any explanations.",¿Cuál es el tipo de casa típico para una familia en España? Provide a single answer without any explanations.,A typical Spanish family house is a two-story house with a garden.,A typical Spanish family house is a two-story house with a garden.,"Una casa familiar típica en España suele ser una casa unifamiliar con jardín, con 3-4 habitaciones y una cocina espaciosa."
Ca-sp-41,¿Dónde suelen vivir las personas mayores dependientes en España?,Where do the dependent elderly usually live in Spain?,"['en asilos', 'residencia', 'residencia de ancianos', 'en una residencia', 'residencias', 'en casa con personas que ayudan', 'en su casa con un cuidador', 'en su casa']","['in nursing homes', 'residence', 'nursing home', 'in a residence', 'residences', 'at home with people who help', 'at home with a caregiver', 'at your home']",Spain,Where do the dependent elderly usually live in Spain? Provide a single answer without any explanations.,"As a person from Spain, where do the dependent elderly usually live in Spain? Provide a single answer without any explanations.",¿Dónde suelen vivir las personas mayores dependientes en España? Provide a single answer without any explanations.,"In Spain, dependent elderly individuals often reside in assisted living facilities or nursing homes.","In Spain, dependent elderly individuals often live in assisted living facilities or nursing homes.",En residencias de ancianos o en el hogar de sus familiares.
Ca-sp-42,"¿Cuántas semanas dura la baja por maternidad en España para las madres? (Proporciona la respuesta en números, por ejemplo, 20).","How long (in weeks) is Spain's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","['16', '20']","['16', '20']",Spain,"How long (in weeks) is Spain's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","As a person from Spain, how long (in weeks) is Spain's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","¿Cuántas semanas dura la baja por maternidad en España para las madres? (Proporciona la respuesta en números, por ejemplo, 20). Provide a single answer without any explanations.",14,2,14
Ca-sp-43,"¿Cuántas semanas dura la baja por paternidad en España para los padres? (Proporciona la respuesta en números, por ejemplo, 20).","How long (in weeks) is Spain's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","['16', '20']","['16', '20']",Spain,"How long (in weeks) is Spain's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","As a person from Spain, how long (in weeks) is Spain's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","¿Cuántas semanas dura la baja por paternidad en España para los padres? (Proporciona la respuesta en números, por ejemplo, 20). Provide a single answer without any explanations.",2,2,14
Ca-sp-45,¿Qué tipo de destino se elige comúnmente para unas vacaciones familiares en España?,What type of destination is commonly chosen for a family vacation in Spain?,"['canarias', 'playa', 'andalucía', 'santander', 'pais vasco', 'mallorca', 'málaga']","['canary islands', 'beach', 'andalusia', 'santander', 'basque country', 'majorca', 'malaga']",Spain,What type of destination is commonly chosen for a family vacation in Spain? Provide a single answer without any explanations.,"As a person from Spain, what type of destination is commonly chosen for a family vacation in Spain? Provide a single answer without any explanations.",¿Qué tipo de destino se elige comúnmente para unas vacaciones familiares en España? Provide a single answer without any explanations.,A beach destination in the Costa del Sol.,Costa Brava.,Costa del Sol.
Gu-ch-05,¿Qué deportes prefieren los mayores en España?,What sports do seniors like the most in Spain?,"['fútbol', 'futbol', 'bolos', 'pilates']","['soccer', 'football', 'skittles', 'pilates']",Spain,What sports do seniors like the most in Spain? Provide a single answer without any explanations.,"As a person from Spain, what sports do seniors like the most in Spain? Provide a single answer without any explanations.",¿Qué deportes prefieren los mayores en España? Provide a single answer without any explanations.,"Seniors in Spain enjoy traditional sports like golf, tennis, and walking, as well as water sports such as swimming and sailing.","Seniors in Spain enjoy traditional sports like golf, tennis, and walking.","Gimnasia rítmica, golf, senderismo, tenis de mesa, y natación."
