question_id,local_question,en_question,local_answer_valid,en_answer_valid,country,control_prompts,persona_prompts,language_prompts
Al-en-21,Ποιο μάθημα είναι το πιο σημαντικό για την εκπαίδευση των προικισμένων παιδιών στην Ελλάδα;,Which subject is the most important for gifted education in Greece?,"['μαθηματικά', 'ελληνική γλώσσα', 'φυσική', 'τεχνολογία']","['mathematics', 'greek language', 'physics', 'technology']",Greece,Which subject is the most important for gifted education in Greece? Provide a single answer without any explanations.,"As a person from Greece, which subject is the most important for gifted education in Greece? Provide a single answer without any explanations.",Ποιο μάθημα είναι το πιο σημαντικό για την εκπαίδευση των προικισμένων παιδιών στην Ελλάδα; Provide a single answer without any explanations.
Al-en-32,Ποιο είναι το κυρίως πιάτο για την Ημέρα των Ευχαριστιών στην Ελλάδα;,What is the main dish for Thanksgiving in Greece?,[],[],Greece,What is the main dish for Thanksgiving in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is the main dish for Thanksgiving in Greece? Provide a single answer without any explanations.",Ποιο είναι το κυρίως πιάτο για την Ημέρα των Ευχαριστιών στην Ελλάδα; Provide a single answer without any explanations.
Al-en-33,Τι κάνουν οι άνθρωποι για να γιορτάσουν το Halloween στην Ελλάδα;,What do people do to celebrate Halloween in Greece?,"['ντύνονται σαν τα καρναβάλια.', 'τιποτα']","['they dress like carnival figures.', 'nothing']",Greece,What do people do to celebrate Halloween in Greece? Provide a single answer without any explanations.,"As a person from Greece, what do people do to celebrate Halloween in Greece? Provide a single answer without any explanations.",Τι κάνουν οι άνθρωποι για να γιορτάσουν το Halloween στην Ελλάδα; Provide a single answer without any explanations.
Al-en-34,Τι κάνουν οι άνθρωποι για να γιορτάσουν την Πρωτοχρονιά στην Ελλάδα;,What do people do to celebrate New Year's Day in Greece?,"['κόβουν βασιλόπιτα.', 'βασιλόπιτα', 'οικογενειακό γεύμα', 'τραπέζι', 'μπουζούκια', 'nightclub with live greek music', 'κλάμπινγκ', 'ρεβεγιόν', 'νυχτερινή έξοδος']","['cutting vasilopita.', 'vasilopita', 'family meal', 'dinner', 'bouzoukia', 'clubbing', ""new year's eve party"", 'night out']",Greece,What do people do to celebrate New Year's Day in Greece? Provide a single answer without any explanations.,"As a person from Greece, what do people do to celebrate New Year's Day in Greece? Provide a single answer without any explanations.",Τι κάνουν οι άνθρωποι για να γιορτάσουν την Πρωτοχρονιά στην Ελλάδα; Provide a single answer without any explanations.
Al-en-35,Τι κάνουν οι άνθρωποι για να γιορτάσουν τα Χριστούγεννα στην Ελλάδα;,What do people do to celebrate Christmas in Greece?,"['οικογενειακό τραπέζι', 'τραπέζι με την οικογένεια', 'ταξιδεύουν στο εξωτερικό', 'βραδινό γεύμα', 'δείπνο', 'εκδηλώσεις', 'μουσικά φεστιβάλ', 'περνούν χρόνο με την οικογένειά τους ή τους φίλους τους']","['meal with the family', 'travel abroad', 'dinner', 'events', 'music festivals', 'spend time with their family or their friends']",Greece,What do people do to celebrate Christmas in Greece? Provide a single answer without any explanations.,"As a person from Greece, what do people do to celebrate Christmas in Greece? Provide a single answer without any explanations.",Τι κάνουν οι άνθρωποι για να γιορτάσουν τα Χριστούγεννα στην Ελλάδα; Provide a single answer without any explanations.
Al-en-36,Ποιο φαγητό συνδέεται με το Halloween στην Ελλάδα;,What food is associated with Halloween in Greece?,['κανένα'],['none'],Greece,What food is associated with Halloween in Greece? Provide a single answer without any explanations.,"As a person from Greece, what food is associated with Halloween in Greece? Provide a single answer without any explanations.",Ποιο φαγητό συνδέεται με το Halloween στην Ελλάδα; Provide a single answer without any explanations.
Al-en-37,Ποιο φαγητό συνδέεται με τα Χριστούγεννα στην Ελλάδα;,What food is associated with Christmas in Greece?,"['μελομακάρονα', 'κουραμπιέδες', 'γαλοπούλα', 'γεμιστό κοτόπουλο', 'χοιρινό', 'πατάτες φούρνου', 'κοτόπουλο']","['melomakarona', 'kourabiedes', 'turkey', 'stuffed chicken', 'pork', 'oven potatoes', 'chicken']",Greece,What food is associated with Christmas in Greece? Provide a single answer without any explanations.,"As a person from Greece, what food is associated with Christmas in Greece? Provide a single answer without any explanations.",Ποιο φαγητό συνδέεται με τα Χριστούγεννα στην Ελλάδα; Provide a single answer without any explanations.
Al-en-38,Τι φαγητό συνδέεται με την ημέρα του Αγίου Βαλεντίνου στην Ελλάδα;,What food is associated with Valentine's day in Greece?,"['σοκολάτα', 'ζυμαρικά']","['chocolate', 'pasta']",Greece,What food is associated with Valentine's day in Greece? Provide a single answer without any explanations.,"As a person from Greece, what food is associated with Valentine's day in Greece? Provide a single answer without any explanations.",Τι φαγητό συνδέεται με την ημέρα του Αγίου Βαλεντίνου στην Ελλάδα; Provide a single answer without any explanations.
Al-en-39,Τι τρώνε οι άνθρωποι στα γενέθλιά τους στην Ελλάδα;,What do people eat on their birthday in Greece?,['τούρτα'],['cake'],Greece,What do people eat on their birthday in Greece? Provide a single answer without any explanations.,"As a person from Greece, what do people eat on their birthday in Greece? Provide a single answer without any explanations.",Τι τρώνε οι άνθρωποι στα γενέθλιά τους στην Ελλάδα; Provide a single answer without any explanations.
Al-en-40,Ποιο είναι ένα δημοφιλές υπαίθριο μέρος για τις οικογένειες να διασκεδάζουν με μικρά παιδιά στην Ελλάδα;,What is a popular outdoor place for families to have fun with little kids in Greece?,"['παιδικές χαρές', 'παιδική χαρά', 'εθνικός κήπος', 'πάρκο', 'Πάρκο Σταύρος Νιάρχος', 'πάρκο νιάρχου']","['playgrounds', 'playground', 'national garden', 'park', 'niarchos park']",Greece,What is a popular outdoor place for families to have fun with little kids in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is a popular outdoor place for families to have fun with little kids in Greece? Provide a single answer without any explanations.",Ποιο είναι ένα δημοφιλές υπαίθριο μέρος για τις οικογένειες να διασκεδάζουν με μικρά παιδιά στην Ελλάδα; Provide a single answer without any explanations.
Al-en-43,Ποια είναι μια  δημοφιλής δραστηριότητα εσωτερικού χώρου για οικογένειες στην Ελλάδα;,What is a popular indoor activity for families in Greece?,"['επιτραπέζια παιχνίδια', 'τάβλι', 'ταινίες', 'χαρτιά']","['board games', 'backgammon', 'movies', 'card games']",Greece,What is a popular indoor activity for families in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is a popular indoor activity for families in Greece? Provide a single answer without any explanations.",Ποια είναι μια  δημοφιλής δραστηριότητα εσωτερικού χώρου για οικογένειες στην Ελλάδα; Provide a single answer without any explanations.
An-ar-02,Πού τρώνε μεσημεριανό οι φοιτητές του πανεπιστημίου στην Ελλάδα;,Where do university students have lunch in Greece?,"['λέσχη', 'στο εστιατόριο της σχολής', 'σπίτι', 'καντίνα']","[""school's restaurant"", ""at the school's restaurant"", 'house', 'canteen']",Greece,Where do university students have lunch in Greece? Provide a single answer without any explanations.,"As a person from Greece, where do university students have lunch in Greece? Provide a single answer without any explanations.",Πού τρώνε μεσημεριανό οι φοιτητές του πανεπιστημίου στην Ελλάδα; Provide a single answer without any explanations.
An-ar-03,Σε ποιον μήνα συνήθως προγραμματίζονται οι τελικές εξετάσεις στα λύκεια στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (1~12).),Which month is the final exam term usually scheduled at high schools in Greece? (Provide Arabic numerals (1~12) only.),"['6', '5']","['6', '5']",Greece,Which month is the final exam term usually scheduled at high schools in Greece? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.,"As a person from Greece, which month is the final exam term usually scheduled at high schools in Greece? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.",Σε ποιον μήνα συνήθως προγραμματίζονται οι τελικές εξετάσεις στα λύκεια στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (1~12).) Provide a single answer without any explanations.
An-ar-08,"Πόσες ώρες την ημέρα συνήθως περνούν οι μαθητές στο λύκειο στην Ελλάδα; (Χρησιμοποιείστε ακέραιους αραβικούς αριθμούς (0~24), χωρίς δεκαδικά ψηφία.)","How many hours a day do students in Greece usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","['6', '7']","['6', '7']",Greece,"How many hours a day do students in Greece usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.) Provide a single answer without any explanations.","As a person from Greece, how many hours a day do students in Greece usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.) Provide a single answer without any explanations.","Πόσες ώρες την ημέρα συνήθως περνούν οι μαθητές στο λύκειο στην Ελλάδα; (Χρησιμοποιείστε ακέραιους αραβικούς αριθμούς (0~24), χωρίς δεκαδικά ψηφία.) Provide a single answer without any explanations."
An-ar-09,"Πόσες γλώσσες μελετούν οι μαθητές στο λύκειο στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 5).)","How many languages do students study at high school in Greece? (Provide Arabic numerals (e.g., 5) only.)","['3', '2', '1']","['3', '2', '1']",Greece,"How many languages do students study at high school in Greece? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","As a person from Greece, how many languages do students study at high school in Greece? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","Πόσες γλώσσες μελετούν οι μαθητές στο λύκειο στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 5).) Provide a single answer without any explanations."
An-ar-34,Ποιο είναι το πιο δημοφιλές ομαδικό άθλημα που παίζεται στα σχολεία στην Ελλάδα;,What is the most popular sport played in a team at school in Greece?,"['ποδόσφαιρο', 'βόλεϊ', 'μπάσκετ']","['soccer', 'football', 'volleyball', 'basketball']",Greece,What is the most popular sport played in a team at school in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is the most popular sport played in a team at school in Greece? Provide a single answer without any explanations.",Ποιο είναι το πιο δημοφιλές ομαδικό άθλημα που παίζεται στα σχολεία στην Ελλάδα; Provide a single answer without any explanations.
An-ar-35,Ποιος είναι ο πιο δημοφιλής αθλητικός σχολιαστής στην Ελλάδα;,Who is the most popular sport commentator in Greece?,"['γιώργος θαναηλάκης', 'σωτηρακόπουλος', 'κώστας ραπτόπουλος', 'διακογιάννης γιαννής']","['george thanailakis', 'sotirakopoulos', 'kostas raptopoulos', 'diakogiannis giannis']",Greece,Who is the most popular sport commentator in Greece? Provide a single answer without any explanations.,"As a person from Greece, who is the most popular sport commentator in Greece? Provide a single answer without any explanations.",Ποιος είναι ο πιο δημοφιλής αθλητικός σχολιαστής στην Ελλάδα; Provide a single answer without any explanations.
An-ar-36,Ποια είναι η πιο δημοφιλής αθλητική ομάδα στην Ελλάδα;,What is the most popular sport team in Greece?,"['Ολυμπιακός', 'ΑΕΚ', 'Παναθηναικός', 'ΠΑΟΚ']","['olympiacos', 'aek', 'panathinaikos', 'paok']",Greece,What is the most popular sport team in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is the most popular sport team in Greece? Provide a single answer without any explanations.",Ποια είναι η πιο δημοφιλής αθλητική ομάδα στην Ελλάδα; Provide a single answer without any explanations.
An-ar-43,Ποια είναι τα συνηθισμένα μέρη ή χώροι όπου τα άτομα στην Ελλάδα συνήθως συγκεντρώνονται για να παρακολουθήσουν αθλητικές μεταδόσεις;,What are the common places or venues where individuals in Greece usually gather to watch sports broadcasts?,"['καφενείο', 'καφετέριες', 'σπίτια', 'Αλεξάνδρειο Μέλαθρο', 'Αλεξάνδρειο', 'Παλέ ντε Σπορ', 'Nick Galis Hall', 'Γήπεδο Τούμπας', 'ολυμπιακό αθλητικό κέντρο αθηνών', 'ΟΑΚΑ']","['cafes', 'houses', 'nick galis hall', 'toumba stadium', 'olympic athletic center of athens']",Greece,What are the common places or venues where individuals in Greece usually gather to watch sports broadcasts? Provide a single answer without any explanations.,"As a person from Greece, what are the common places or venues where individuals in Greece usually gather to watch sports broadcasts? Provide a single answer without any explanations.",Ποια είναι τα συνηθισμένα μέρη ή χώροι όπου τα άτομα στην Ελλάδα συνήθως συγκεντρώνονται για να παρακολουθήσουν αθλητικές μεταδόσεις; Provide a single answer without any explanations.
Ca-sp-05,"Πόσα γεύματα την ημέρα συνήθως έχουν οι άνθρωποι από την Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς, π.χ., 5.)","How many meals per day do people from Greece usually have? (Provide Arabic numerals (e.g., 5) only.)","['3', '2', '5']","['3', '2', '5']",Greece,"How many meals per day do people from Greece usually have? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","As a person from Greece, how many meals per day do people from Greece usually have? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","Πόσα γεύματα την ημέρα συνήθως έχουν οι άνθρωποι από την Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς, π.χ., 5.) Provide a single answer without any explanations."
Ca-sp-06,Ποιο είναι το πιο σημαντικό γεύμα της ημέρας για τους Έλληνες;,Which is the most important meal of the day to people from Greece?,"['μεσημεριανό', 'πρωινό']","['lunch', 'breakfast']",Greece,Which is the most important meal of the day to people from Greece? Provide a single answer without any explanations.,"As a person from Greece, which is the most important meal of the day to people from Greece? Provide a single answer without any explanations.",Ποιο είναι το πιο σημαντικό γεύμα της ημέρας για τους Έλληνες; Provide a single answer without any explanations.
Ca-sp-08,Ποιο είναι το πιο συνηθισμένο συστατικό που χρησιμοποιείται στη διατροφή της Ελλάδας;,What is the most common ingredient used in Greece's diet?,"['ελαιόλαδο', 'λάδι', 'Τυρί φέτα', 'φέτα']","['olive oil', 'feta']",Greece,What is the most common ingredient used in Greece's diet? Provide a single answer without any explanations.,"As a person from Greece, what is the most common ingredient used in Greece's diet? Provide a single answer without any explanations.",Ποιο είναι το πιο συνηθισμένο συστατικό που χρησιμοποιείται στη διατροφή της Ελλάδας; Provide a single answer without any explanations.
Ca-sp-09,Τι συνήθως τρώνε οι άνθρωποι από την Ελλάδα για επιδόρπιο;,What do people from Greece usually eat for dessert?,"['σοκολάτα', 'γλυκό του κουταλιού', 'φρούτο', 'πάστες', 'γαλακτομπούρεκο', 'μπακλαβά', 'κέικ']","['chocolate', 'spoon sweets', 'fruit', 'pastries', 'galaktoboureko', 'baklava', 'cake']",Greece,What do people from Greece usually eat for dessert? Provide a single answer without any explanations.,"As a person from Greece, what do people from Greece usually eat for dessert? Provide a single answer without any explanations.",Τι συνήθως τρώνε οι άνθρωποι από την Ελλάδα για επιδόρπιο; Provide a single answer without any explanations.
Ca-sp-11,Ποια μέρα της εβδομάδας συνήθως οργανώνουν οι άνθρωποι ένα οικογενειακό γεύμα στην Ελλάδα;,Which day of the week do people usually organize a family meal in Greece?,"['Κυριακή', 'Σάββατο']","['sunday', 'saturday']",Greece,Which day of the week do people usually organize a family meal in Greece? Provide a single answer without any explanations.,"As a person from Greece, which day of the week do people usually organize a family meal in Greece? Provide a single answer without any explanations.",Ποια μέρα της εβδομάδας συνήθως οργανώνουν οι άνθρωποι ένα οικογενειακό γεύμα στην Ελλάδα; Provide a single answer without any explanations.
Ca-sp-14,Ποιο είναι το πιο δημοφιλές ζεστό ποτό στην Ελλάδα;,Which is the most popular hot drink in Greece?,"['καφές', 'ρακόμελο', 'ζεστό κρασί']","['coffee', 'rakomelo', 'hot wine']",Greece,Which is the most popular hot drink in Greece? Provide a single answer without any explanations.,"As a person from Greece, which is the most popular hot drink in Greece? Provide a single answer without any explanations.",Ποιο είναι το πιο δημοφιλές ζεστό ποτό στην Ελλάδα; Provide a single answer without any explanations.
Ca-sp-19,Τι συνήθως πίνουν οι νέοι από την Ελλάδα στα νυχτερινά κέντρα;,What do young people from Greece usually drink at the night club?,"['βότκα', 'βοτκα', 'τζιν', 'μπύρα', 'μπύρες', 'αλκοολούχα ποτά', 'ποτά', 'ουίσκι', 'κοκτέιλ', 'ρούμι', 'κρασιά']","['vodka', 'gin', 'beer', 'beers', 'alcoholic beverages', 'drinks', 'whiskey', 'cocktail', 'rum', 'wines']",Greece,What do young people from Greece usually drink at the night club? Provide a single answer without any explanations.,"As a person from Greece, what do young people from Greece usually drink at the night club? Provide a single answer without any explanations.",Τι συνήθως πίνουν οι νέοι από την Ελλάδα στα νυχτερινά κέντρα; Provide a single answer without any explanations.
Ca-sp-21,Σε ποιον μήνα συνήθως οι άνθρωποι παίρνουν διακοπές στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (1~12).),At which month do people usually take holidays in Greece? (Provide Arabic numerals (1~12) only.),"['8', '12']","['8', '12']",Greece,At which month do people usually take holidays in Greece? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.,"As a person from Greece, at which month do people usually take holidays in Greece? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.",Σε ποιον μήνα συνήθως οι άνθρωποι παίρνουν διακοπές στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (1~12).) Provide a single answer without any explanations.
Ca-sp-29,Ποια είναι η παράδοση στην Ελλάδα για την Πρωτοχρονιά;,What tradition is there in Greece for New Year's Eve?,"['οικογενειακό τραπέζι', 'οικογενειακή μάζωξη με φαγητό', 'βασιλόπιτα', 'κοπή της βασιλόπιτας', 'είναι εθνική αργία']","['family meal', 'family gathering with food', 'vasilopita', 'cutting of the vasilopita', 'is a national holiday']",Greece,What tradition is there in Greece for New Year's Eve? Provide a single answer without any explanations.,"As a person from Greece, what tradition is there in Greece for New Year's Eve? Provide a single answer without any explanations.",Ποια είναι η παράδοση στην Ελλάδα για την Πρωτοχρονιά; Provide a single answer without any explanations.
Ca-sp-38,Ποιος είναι ο τυπικός τύπος σπιτιού για μια οικογένεια στην Ελλάδα;,Which is the typical type of house for a family in Greece?,"['διαμέρισμα σε πολυκατοικία', 'διαμέρισμα', 'μεσαίο διαμέρισμα']","['apartment in an apartment building', 'apartment', 'medium apartment']",Greece,Which is the typical type of house for a family in Greece? Provide a single answer without any explanations.,"As a person from Greece, which is the typical type of house for a family in Greece? Provide a single answer without any explanations.",Ποιος είναι ο τυπικός τύπος σπιτιού για μια οικογένεια στην Ελλάδα; Provide a single answer without any explanations.
Ca-sp-41,Πού συνήθως ζουν οι εξαρτώμενοι ηλικιωμένοι στην Ελλάδα;,Where do the dependent elderly usually live in Greece?,"['οίκοι ευγηρίας', 'οίκους ευγηρίας', 'γηροκομείο', 'με σύνταξη', 'σπίτι με κάποιον να τους φροντίζει']","['houses of prosperity', 'nursing homes', 'nursing home', 'with pension', 'home with someone to take care of them']",Greece,Where do the dependent elderly usually live in Greece? Provide a single answer without any explanations.,"As a person from Greece, where do the dependent elderly usually live in Greece? Provide a single answer without any explanations.",Πού συνήθως ζουν οι εξαρτώμενοι ηλικιωμένοι στην Ελλάδα; Provide a single answer without any explanations.
Ca-sp-42,"Πόσο διαρκεί (σε εβδομάδες) η άδεια μητρότητας στην Ελλάδα για τις μητέρες; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 20).)","How long (in weeks) is Greece's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","['14', '52', '17', '8']","['14', '52', '17', '8']",Greece,"How long (in weeks) is Greece's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","As a person from Greece, how long (in weeks) is Greece's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","Πόσο διαρκεί (σε εβδομάδες) η άδεια μητρότητας στην Ελλάδα για τις μητέρες; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 20).) Provide a single answer without any explanations."
Ca-sp-43,"Πόσο διαρκεί (σε εβδομάδες) η άδεια πατρότητας στην Ελλάδα για τους μπαμπάδες; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 20).)","How long (in weeks) is Greece's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","['2', '1', '3', '36']","['2', '1', '3', '36']",Greece,"How long (in weeks) is Greece's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","As a person from Greece, how long (in weeks) is Greece's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","Πόσο διαρκεί (σε εβδομάδες) η άδεια πατρότητας στην Ελλάδα για τους μπαμπάδες; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 20).) Provide a single answer without any explanations."
Ca-sp-45,Ποιο είδος προορισμού επιλέγεται συνήθως για οικογενειακές διακοπές στην Ελλάδα;,What type of destination is commonly chosen for a family vacation in Greece?,"['νησί', 'νησιά', 'ηπειρωτικά χωριά']","['island', 'islands', 'continental villages']",Greece,What type of destination is commonly chosen for a family vacation in Greece? Provide a single answer without any explanations.,"As a person from Greece, what type of destination is commonly chosen for a family vacation in Greece? Provide a single answer without any explanations.",Ποιο είδος προορισμού επιλέγεται συνήθως για οικογενειακές διακοπές στην Ελλάδα; Provide a single answer without any explanations.
Gu-ch-05,Ποια αθλήματα προτιμούν περισσότερο οι ηλικιωμένοι στην Ελλάδα;,What sports do seniors like the most in Greece?,"['ποδόσφαιρο', 'περπάτημα', 'κολύμπι', 'μπάσκετ', 'στίβος']","['soccer', 'football', 'walking', 'swimming', 'basketball', 'track and field']",Greece,What sports do seniors like the most in Greece? Provide a single answer without any explanations.,"As a person from Greece, what sports do seniors like the most in Greece? Provide a single answer without any explanations.",Ποια αθλήματα προτιμούν περισσότερο οι ηλικιωμένοι στην Ελλάδα; Provide a single answer without any explanations.
