question_id,local_question,en_question,local_answer_valid,en_answer_valid,country,control_prompts,persona_prompts,language_prompts
Al-en-21,أي مادة هي الأهم لتعليم الموهوبين في الجزائر؟,Which subject is the most important for gifted education in Algeria?,"['الرياضيات', 'الموسيقى', 'الرسم', 'الموسيقى']","['mathematics', 'math', 'music', 'painting', 'drawing', 'music']",Algeria,Which subject is the most important for gifted education in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, which subject is the most important for gifted education in Algeria? Provide a single answer without any explanations.",أي مادة هي الأهم لتعليم الموهوبين في الجزائر؟ Provide a single answer without any explanations.
Al-en-32,ما هو الطبق الرئيسي لعيد الشكر في الجزائر؟,What is the main dish for Thanksgiving in Algeria?,[],[],Algeria,What is the main dish for Thanksgiving in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is the main dish for Thanksgiving in Algeria? Provide a single answer without any explanations.",ما هو الطبق الرئيسي لعيد الشكر في الجزائر؟ Provide a single answer without any explanations.
Al-en-33,ماذا يفعل الناس للاحتفال بعيد الهالوين في الجزائر؟,What do people do to celebrate Halloween in Algeria?,[],[],Algeria,What do people do to celebrate Halloween in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what do people do to celebrate Halloween in Algeria? Provide a single answer without any explanations.",ماذا يفعل الناس للاحتفال بعيد الهالوين في الجزائر؟ Provide a single answer without any explanations.
Al-en-34,كيف يحتفل الناس برأس السنة الجديدة في الجزائر؟ ,What do people do to celebrate New Year's Day in Algeria?,['يأكلون الحلوى'],"['eating sweets', 'eat sweets']",Algeria,What do people do to celebrate New Year's Day in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what do people do to celebrate New Year's Day in Algeria? Provide a single answer without any explanations.",كيف يحتفل الناس برأس السنة الجديدة في الجزائر؟  Provide a single answer without any explanations.
Al-en-35,ماذا يفعل الناس للاحتفال بعيد الميلاد في الجزائر؟,What do people do to celebrate Christmas in Algeria?,[],[],Algeria,What do people do to celebrate Christmas in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what do people do to celebrate Christmas in Algeria? Provide a single answer without any explanations.",ماذا يفعل الناس للاحتفال بعيد الميلاد في الجزائر؟ Provide a single answer without any explanations.
Al-en-36,أي نوع من الطعام يرتبط بعيد الهالوين في الجزائر؟,What food is associated with Halloween in Algeria?,[],[],Algeria,What food is associated with Halloween in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what food is associated with Halloween in Algeria? Provide a single answer without any explanations.",أي نوع من الطعام يرتبط بعيد الهالوين في الجزائر؟ Provide a single answer without any explanations.
Al-en-37,ما هي الأطعمة المرتبطة بعيد الميلاد في الجزائر؟,What food is associated with Christmas in Algeria?,[],[],Algeria,What food is associated with Christmas in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what food is associated with Christmas in Algeria? Provide a single answer without any explanations.",ما هي الأطعمة المرتبطة بعيد الميلاد في الجزائر؟ Provide a single answer without any explanations.
Al-en-38,ما هو الطعام المرتبط بعيد الحب في الجزائر؟,What food is associated with Valentine's day in Algeria?,"['الشكولاطة', 'الشكلاطة']",['chocolate'],Algeria,What food is associated with Valentine's day in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what food is associated with Valentine's day in Algeria? Provide a single answer without any explanations.",ما هو الطعام المرتبط بعيد الحب في الجزائر؟ Provide a single answer without any explanations.
Al-en-39,ماذا يأكل الناس في أعياد ميلادهم في الجزائر؟,What do people eat on their birthday in Algeria?,"['الحلوى', 'الكعك', 'كعكة الميلاد', 'تورتة']","['cake', 'birthday cake', 'tart']",Algeria,What do people eat on their birthday in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what do people eat on their birthday in Algeria? Provide a single answer without any explanations.",ماذا يأكل الناس في أعياد ميلادهم في الجزائر؟ Provide a single answer without any explanations.
Al-en-40,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,What is a popular outdoor place for families to have fun with little kids in Algeria?,"['صابلات', 'متنزه الصابلات', 'حديقة التجارب', 'الحديقة العمومية', 'المنتزه', 'البحر', 'مراكز التسوق']","['sablettes park', 'botanical garden hamma', 'garden', 'public garden', 'park', 'sea', 'shopping center']",Algeria,What is a popular outdoor place for families to have fun with little kids in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is a popular outdoor place for families to have fun with little kids in Algeria? Provide a single answer without any explanations.",ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟ Provide a single answer without any explanations.
Al-en-43,ما هي الأنشطة العائلية المنزلية في الجزائر؟,What is a popular indoor activity for families in Algeria?,"['مشاهدة التلفاز', 'الغميضة']","['watching tv', 'watch tv', 'hide and seek']",Algeria,What is a popular indoor activity for families in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is a popular indoor activity for families in Algeria? Provide a single answer without any explanations.",ما هي الأنشطة العائلية المنزلية في الجزائر؟ Provide a single answer without any explanations.
An-ar-02,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,Where do university students have lunch in Algeria?,"['university canteen', 'المطعم', 'المطعم الجامعي', 'محلات الاكل الخفيف', 'البيت']","['restaurant', 'university restaurant', 'snack shops', 'house', 'home']",Algeria,Where do university students have lunch in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, where do university students have lunch in Algeria? Provide a single answer without any explanations.",أين يتناول طلبة الجامعة غداءهم في الجزائر؟ Provide a single answer without any explanations.
An-ar-03,في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12),Which month is the final exam term usually scheduled at high schools in Algeria? (Provide Arabic numerals (1~12) only.),['6'],['6'],Algeria,Which month is the final exam term usually scheduled at high schools in Algeria? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.,"As a person from Algeria, which month is the final exam term usually scheduled at high schools in Algeria? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.",في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12) Provide a single answer without any explanations.
An-ar-08,ماهو عدد الساعات التي يقضيها طلاب الثانوية  في المدرسة في الجزائر؟ (استعمل الأرقام العربية الصحيحة (0~24)، بدون أي نقاط عشرية.),"How many hours a day do students in Algeria usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","['8', '7']","['8', '7']",Algeria,"How many hours a day do students in Algeria usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.) Provide a single answer without any explanations.","As a person from Algeria, how many hours a day do students in Algeria usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.) Provide a single answer without any explanations.",ماهو عدد الساعات التي يقضيها طلاب الثانوية  في المدرسة في الجزائر؟ (استعمل الأرقام العربية الصحيحة (0~24)، بدون أي نقاط عشرية.) Provide a single answer without any explanations.
An-ar-09,ما هو عدد اللغات التي يدرسها طلاب المدارس الثانوية في الجزائر؟ (أجب برقم، مثلا 5.),"How many languages do students study at high school in Algeria? (Provide Arabic numerals (e.g., 5) only.)","['3', '4']","['3', '4']",Algeria,"How many languages do students study at high school in Algeria? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","As a person from Algeria, how many languages do students study at high school in Algeria? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.",ما هو عدد اللغات التي يدرسها طلاب المدارس الثانوية في الجزائر؟ (أجب برقم، مثلا 5.) Provide a single answer without any explanations.
An-ar-34,ما هي أشهر رياضة جماعية في المدارس الجزائرية؟,What is the most popular sport played in a team at school in Algeria?,"['كرة اليد', 'كرة القدم', 'كرة السلة', 'كرة الطائرة']","['handball', 'soccer', 'football', 'basketball', 'volleyball']",Algeria,What is the most popular sport played in a team at school in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is the most popular sport played in a team at school in Algeria? Provide a single answer without any explanations.",ما هي أشهر رياضة جماعية في المدارس الجزائرية؟ Provide a single answer without any explanations.
An-ar-35,من هو أشهر معلق رياضي في الجزائر؟,Who is the most popular sport commentator in Algeria?,['حفيظ دراجي'],['hafid derradji'],Algeria,Who is the most popular sport commentator in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, who is the most popular sport commentator in Algeria? Provide a single answer without any explanations.",من هو أشهر معلق رياضي في الجزائر؟ Provide a single answer without any explanations.
An-ar-36,ما هو أشهر فريق رياضي في الجزائر؟,What is the most popular sport team in Algeria?,"['مولودية الجزائر', 'المولودية', 'مولودية']","['mca', ""mouloudia club d'alger"", ""mouloudia d'alger"", 'mc algiers', 'mc alger', 'mouloudia']",Algeria,What is the most popular sport team in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is the most popular sport team in Algeria? Provide a single answer without any explanations.",ما هو أشهر فريق رياضي في الجزائر؟ Provide a single answer without any explanations.
An-ar-43,ما هي الأماكن أو الفضاءات الشائعة التي يتجمع فيها الأفراد في الجزائر لمشاهدة بث رياضي؟,What are the common places or venues where individuals in Algeria usually gather to watch sports broadcasts?,"['مقاهي', 'المقاهي', 'المقهى', 'الساحات العمومية', 'مدرجات الملعب']","['cafes', 'cafe', 'public squares', 'square', 'stadium stands', 'stadium']",Algeria,What are the common places or venues where individuals in Algeria usually gather to watch sports broadcasts? Provide a single answer without any explanations.,"As a person from Algeria, what are the common places or venues where individuals in Algeria usually gather to watch sports broadcasts? Provide a single answer without any explanations.",ما هي الأماكن أو الفضاءات الشائعة التي يتجمع فيها الأفراد في الجزائر لمشاهدة بث رياضي؟ Provide a single answer without any explanations.
Ca-sp-05,ما هو عدد الوجبات التي يتناولها الناس يوميا في الجزائر عادة؟(استعمل الأرقام العربية مثل 5),"How many meals per day do people from Algeria usually have? (Provide Arabic numerals (e.g., 5) only.)","['3', '4']","['3', '4']",Algeria,"How many meals per day do people from Algeria usually have? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","As a person from Algeria, how many meals per day do people from Algeria usually have? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.",ما هو عدد الوجبات التي يتناولها الناس يوميا في الجزائر عادة؟(استعمل الأرقام العربية مثل 5) Provide a single answer without any explanations.
Ca-sp-06,ما هي أهم وجبة يومية بالنسبة للشعب الجزائري؟,Which is the most important meal of the day to people from Algeria?,"['الغداء', 'العشاء', 'فطور الصباح']","['lunch', 'dinner', 'morning breakfast', 'breakfast']",Algeria,Which is the most important meal of the day to people from Algeria? Provide a single answer without any explanations.,"As a person from Algeria, which is the most important meal of the day to people from Algeria? Provide a single answer without any explanations.",ما هي أهم وجبة يومية بالنسبة للشعب الجزائري؟ Provide a single answer without any explanations.
Ca-sp-08,ما هو أكثر مكون شائع الاستخدام في النظام الغذائي الجزائري؟,What is the most common ingredient used in Algeria's diet?,"['قمح', 'القمح', 'البطاطس', 'البطاطا,بطاطا, بطاطس', 'خبز', 'الخبز']","['wheat', 'potato', 'potatoes', 'bread']",Algeria,What is the most common ingredient used in Algeria's diet? Provide a single answer without any explanations.,"As a person from Algeria, what is the most common ingredient used in Algeria's diet? Provide a single answer without any explanations.",ما هو أكثر مكون شائع الاستخدام في النظام الغذائي الجزائري؟ Provide a single answer without any explanations.
Ca-sp-09,ماذا يأكل الناس في الجزائر عادة للتحلية بعد الطعام؟,What do people from Algeria usually eat for dessert?,"['الفاكهة', 'فاكهة', 'الفواكه']","['fruit', 'fruits']",Algeria,What do people from Algeria usually eat for dessert? Provide a single answer without any explanations.,"As a person from Algeria, what do people from Algeria usually eat for dessert? Provide a single answer without any explanations.",ماذا يأكل الناس في الجزائر عادة للتحلية بعد الطعام؟ Provide a single answer without any explanations.
Ca-sp-11,أي يوم من أيام الأسبوع ينظم الناس عادة وجبة عائلية في الجزائر؟,Which day of the week do people usually organize a family meal in Algeria?,['الجمعة'],['friday'],Algeria,Which day of the week do people usually organize a family meal in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, which day of the week do people usually organize a family meal in Algeria? Provide a single answer without any explanations.",أي يوم من أيام الأسبوع ينظم الناس عادة وجبة عائلية في الجزائر؟ Provide a single answer without any explanations.
Ca-sp-14,ما هو المشروب الساخن الأكثر شعبية في الجزائر؟,Which is the most popular hot drink in Algeria?,"['القهوة', 'الشاي']","['coffee', 'tea']",Algeria,Which is the most popular hot drink in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, which is the most popular hot drink in Algeria? Provide a single answer without any explanations.",ما هو المشروب الساخن الأكثر شعبية في الجزائر؟ Provide a single answer without any explanations.
Ca-sp-19,ماذا يشرب الشباب في الجزائر عادة في النادي الليلي؟,What do young people from Algeria usually drink at the night club?,[],[],Algeria,What do young people from Algeria usually drink at the night club? Provide a single answer without any explanations.,"As a person from Algeria, what do young people from Algeria usually drink at the night club? Provide a single answer without any explanations.",ماذا يشرب الشباب في الجزائر عادة في النادي الليلي؟ Provide a single answer without any explanations.
Ca-sp-21,في أي شهر يأخذ الناس عادة عطلاتهم في الجزائر؟(استعمل الأرقام العربية مثل 1~12).,At which month do people usually take holidays in Algeria? (Provide Arabic numerals (1~12) only.),"['8', '7']","['8', '7']",Algeria,At which month do people usually take holidays in Algeria? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.,"As a person from Algeria, at which month do people usually take holidays in Algeria? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.",في أي شهر يأخذ الناس عادة عطلاتهم في الجزائر؟(استعمل الأرقام العربية مثل 1~12). Provide a single answer without any explanations.
Ca-sp-29,ما هي تقاليد ليلة رأس السنة في الجزائر؟,What tradition is there in Algeria for New Year's Eve?,"['اكل الحلوى', 'تناول العشاء']","['eating sweets', 'sweets', 'have dinner', 'having dinner']",Algeria,What tradition is there in Algeria for New Year's Eve? Provide a single answer without any explanations.,"As a person from Algeria, what tradition is there in Algeria for New Year's Eve? Provide a single answer without any explanations.",ما هي تقاليد ليلة رأس السنة في الجزائر؟ Provide a single answer without any explanations.
Ca-sp-38,ما هو النوع النموذجي لمنازل العائلات في الجزائر؟,Which is the typical type of house for a family in Algeria?,"['الشقة', 'الشقق', 'شقة']","['the apartment', 'apartments', 'apartment']",Algeria,Which is the typical type of house for a family in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, which is the typical type of house for a family in Algeria? Provide a single answer without any explanations.",ما هو النوع النموذجي لمنازل العائلات في الجزائر؟ Provide a single answer without any explanations.
Ca-sp-41,أين يعيش كبار السن العاجزين عادة في الجزائر؟,Where do the dependent elderly usually live in Algeria?,"['مع أبنائهم', 'بين أولادهم', 'مع احد أبنائهم', 'منزلهم', 'في البيت']","['among their children', 'with children', 'with their children', 'with one of their children', 'home', 'house', 'their house', 'at home']",Algeria,Where do the dependent elderly usually live in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, where do the dependent elderly usually live in Algeria? Provide a single answer without any explanations.",أين يعيش كبار السن العاجزين عادة في الجزائر؟ Provide a single answer without any explanations.
Ca-sp-42,ماهي مدة إجازة الأمومة في الجزائر بالأسابيع؟ (استعمل الأرقام العربية مثل 7، 8.).,"How long (in weeks) is Algeria's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",['14'],['14'],Algeria,"How long (in weeks) is Algeria's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","As a person from Algeria, how long (in weeks) is Algeria's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.",ماهي مدة إجازة الأمومة في الجزائر بالأسابيع؟ (استعمل الأرقام العربية مثل 7، 8.). Provide a single answer without any explanations.
Ca-sp-43,ما هي مدة إجازة الأبوة في الجزائر(بالأسابيع)؟ (استعمل الأرقام العربية مثل 7، 8.),"How long (in weeks) is Algeria's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",['0'],['0'],Algeria,"How long (in weeks) is Algeria's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","As a person from Algeria, how long (in weeks) is Algeria's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.",ما هي مدة إجازة الأبوة في الجزائر(بالأسابيع)؟ (استعمل الأرقام العربية مثل 7، 8.) Provide a single answer without any explanations.
Ca-sp-45,ماهي الوجهة الشائعة لقضاء عطلة عائلية في الجزائر؟,What type of destination is commonly chosen for a family vacation in Algeria?,"['شاطئ البحر', 'البحر', 'بحر']","['beach', 'sea']",Algeria,What type of destination is commonly chosen for a family vacation in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what type of destination is commonly chosen for a family vacation in Algeria? Provide a single answer without any explanations.",ماهي الوجهة الشائعة لقضاء عطلة عائلية في الجزائر؟ Provide a single answer without any explanations.
Gu-ch-05,ما هي الرياضات المفضلة لكبار السن في الجزائر؟,What sports do seniors like the most in Algeria?,"['الكرة الحديدية', 'كرة القدم', 'المشي']","['petanque', 'pétanque', 'soccer', 'football', 'walking', 'walk']",Algeria,What sports do seniors like the most in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what sports do seniors like the most in Algeria? Provide a single answer without any explanations.",ما هي الرياضات المفضلة لكبار السن في الجزائر؟ Provide a single answer without any explanations.
Gu-ch-06,ما هي الرياضات المفضلة للرجال في الجزائر؟,What sports do men like to play the most in Algeria?,['كرة القدم'],"['soccer', 'football']",Algeria,What sports do men like to play the most in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what sports do men like to play the most in Algeria? Provide a single answer without any explanations.",ما هي الرياضات المفضلة للرجال في الجزائر؟ Provide a single answer without any explanations.
Gu-ch-07,من هو أشهر لاعب كرة سلة في الجزائر؟,Who is the most famous basketball player in Algeria?,[],[],Algeria,Who is the most famous basketball player in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, who is the most famous basketball player in Algeria? Provide a single answer without any explanations.",من هو أشهر لاعب كرة سلة في الجزائر؟ Provide a single answer without any explanations.
Gu-ch-08,ما هو أشهر رياضة للأطفال في الجزائر؟,What is the most popular sports among children in Algeria?,"['كرة القدم', 'القفز', 'الكاراتيه']","['soccer', 'football', 'jumping', 'karate', 'karaté']",Algeria,What is the most popular sports among children in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what is the most popular sports among children in Algeria? Provide a single answer without any explanations.",ما هو أشهر رياضة للأطفال في الجزائر؟ Provide a single answer without any explanations.
Gu-ch-09,ما هي الرياضات المفضلة للنساء في الجزائر؟,What sports do women like to play the most in Algeria?,"['الجمباز', 'اللياقة البدنية', 'الرقص']","['gymnastics', 'fitness', 'dance']",Algeria,What sports do women like to play the most in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what sports do women like to play the most in Algeria? Provide a single answer without any explanations.",ما هي الرياضات المفضلة للنساء في الجزائر؟ Provide a single answer without any explanations.
Gu-ch-11,هاهي الرياضة  التي فازت الجزائر فيها بأكبر عدد من الميداليات الذهبية في الأولمبياد؟,What sports event has Algeria won the most gold medals at the Olympics?,"['الركض', 'العدو', 'الجودو', 'السباحة', 'الملاكمة']","['running', 'judo', 'swimming', 'boxing']",Algeria,What sports event has Algeria won the most gold medals at the Olympics? Provide a single answer without any explanations.,"As a person from Algeria, what sports event has Algeria won the most gold medals at the Olympics? Provide a single answer without any explanations.",هاهي الرياضة  التي فازت الجزائر فيها بأكبر عدد من الميداليات الذهبية في الأولمبياد؟ Provide a single answer without any explanations.
Gu-ch-15,ما هي الرياضات التي يفضل ممارستها طلاب الجامعة الذكور في الجزائر؟,What sports do male students in university like to play the most in Algeria?,"['كرة القدم', 'كرة السلة', 'اللياقة البدنية', 'رفع الأثقال']","['soccer', 'football', 'basketball', 'fitness', 'physical fitness', 'weight lifting', 'weightlifting']",Algeria,What sports do male students in university like to play the most in Algeria? Provide a single answer without any explanations.,"As a person from Algeria, what sports do male students in university like to play the most in Algeria? Provide a single answer without any explanations.",ما هي الرياضات التي يفضل ممارستها طلاب الجامعة الذكور في الجزائر؟ Provide a single answer without any explanations.
Gu-ch-16,هاهو متوسط عدد أفراد الأسرة في الجزائر؟ (استعمل الأرقام العربية مثل 7، 8.),"How many people are there in a family on average in Algeria? (Provide Arabic numerals (e.g., 12) only.)","['5', '4']","['5', '4']",Algeria,"How many people are there in a family on average in Algeria? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Algeria, how many people are there in a family on average in Algeria? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.",هاهو متوسط عدد أفراد الأسرة في الجزائر؟ (استعمل الأرقام العربية مثل 7، 8.) Provide a single answer without any explanations.
Gu-ch-18,هاهو متوسط عدد الأطفال في الأسرة الواحدة في الجزائر؟ (استعمل الأرقام العربية مثل 7، 8.),"How many children do couples usually have in Algeria? (Provide Arabic numerals (e.g., 12) only.)","['3', '2']","['3', '2']",Algeria,"How many children do couples usually have in Algeria? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Algeria, how many children do couples usually have in Algeria? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.",هاهو متوسط عدد الأطفال في الأسرة الواحدة في الجزائر؟ (استعمل الأرقام العربية مثل 7، 8.) Provide a single answer without any explanations.
Gu-ch-31,"ما هي مدة الدراسة الابتدائية بالسنوات في الجزائر؟ (أجب برقم, مثلا 12.)","What is the duration of elementary school in years in Algeria? (Provide Arabic numerals (e.g., 12) only.)",['5'],['5'],Algeria,"What is the duration of elementary school in years in Algeria? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Algeria, what is the duration of elementary school in years in Algeria? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","ما هي مدة الدراسة الابتدائية بالسنوات في الجزائر؟ (أجب برقم, مثلا 12.) Provide a single answer without any explanations."
Gu-ch-32,"ما هي مدة التعليم الإلزامي بالسنوات في الجزائر؟(أجب برقم, مثلا 12)","What is the duration of compulsory education in years in Algeria? (Provide Arabic numerals (e.g., 12) only.)","['11', '12', '9']","['11', '12', '9']",Algeria,"What is the duration of compulsory education in years in Algeria? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Algeria, what is the duration of compulsory education in years in Algeria? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","ما هي مدة التعليم الإلزامي بالسنوات في الجزائر؟(أجب برقم, مثلا 12) Provide a single answer without any explanations."
