question_id,local_question,en_question,local_answer_valid,en_answer_valid,country,control_prompts,persona_prompts,language_prompts
Al-en-21,Mata pelajaran apa yang paling penting untuk pendidikan bagi siswa berbakat di Indonesia?,Which subject is the most important for gifted education in Indonesia?,"['matematika', 'fisika', 'kimia', 'ipa', 'ilmu pengetahuan alam', 'sains', 'bahasa asing', 'olahraga']","['mathematics', 'physics', 'chemistry', 'science', 'foreign language', 'sport']",Indonesia,Which subject is the most important for gifted education in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, which subject is the most important for gifted education in Indonesia? Provide a single answer without any explanations.",Mata pelajaran apa yang paling penting untuk pendidikan bagi siswa berbakat di Indonesia? Provide a single answer without any explanations.
Al-en-32,Apa hidangan utama untuk perayaan Thanksgiving di Indonesia?,What is the main dish for Thanksgiving in Indonesia?,"['ayam kalkun', 'kalkun']",['turkey'],Indonesia,What is the main dish for Thanksgiving in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is the main dish for Thanksgiving in Indonesia? Provide a single answer without any explanations.",Apa hidangan utama untuk perayaan Thanksgiving di Indonesia? Provide a single answer without any explanations.
Al-en-33,Apa yang dilakukan orang-orang untuk merayakan Halloween di Indonesia?,What do people do to celebrate Halloween in Indonesia?,['pakai kostum'],['wear a costume'],Indonesia,What do people do to celebrate Halloween in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what do people do to celebrate Halloween in Indonesia? Provide a single answer without any explanations.",Apa yang dilakukan orang-orang untuk merayakan Halloween di Indonesia? Provide a single answer without any explanations.
Al-en-34,Apa yang dilakukan orang-orang untuk merayakan Hari Tahun Baru di Indonesia?,What do people do to celebrate New Year's Day in Indonesia?,"['menyalakan petasan', 'main kembang api', 'main mercon', 'menyalakan kembang api', 'bakar ikan', 'membakar ikan', 'membakar ayam', 'bakar ayam', 'makan bersama keluarga', 'berkumpul']","['set off fireworks', 'play with fireworks', 'play with firecrackers', 'grill a fish', 'grill a chicken', 'eat with family', 'eat together with family', 'gather']",Indonesia,What do people do to celebrate New Year's Day in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what do people do to celebrate New Year's Day in Indonesia? Provide a single answer without any explanations.",Apa yang dilakukan orang-orang untuk merayakan Hari Tahun Baru di Indonesia? Provide a single answer without any explanations.
Al-en-35,Apa yang dilakukan orang-orang untuk merayakan Natal di Indonesia?,What do people do to celebrate Christmas in Indonesia?,"['makan bersama', 'makan malam bersama keluarga', 'ibadah', 'beribadah di gereja']","['eat together', 'eat with family', 'eat together with family', 'family dinner', 'dinner with family', 'worship', 'pray', 'pray at church', 'worship at church']",Indonesia,What do people do to celebrate Christmas in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what do people do to celebrate Christmas in Indonesia? Provide a single answer without any explanations.",Apa yang dilakukan orang-orang untuk merayakan Natal di Indonesia? Provide a single answer without any explanations.
Al-en-36,Makanan apa yang dikaitkan dengan Halloween di Indonesia?,What food is associated with Halloween in Indonesia?,"['permen', 'labu', 'cokelat', 'coklat']","['candy', 'pumpkin', 'chocolate']",Indonesia,What food is associated with Halloween in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what food is associated with Halloween in Indonesia? Provide a single answer without any explanations.",Makanan apa yang dikaitkan dengan Halloween di Indonesia? Provide a single answer without any explanations.
Al-en-37,Makanan apa yang dikaitkan dengan Natal di Indonesia?,What food is associated with Christmas in Indonesia?,"['kue kering', 'kue jahe']","['cookie', 'biscuit', 'gingerbread']",Indonesia,What food is associated with Christmas in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what food is associated with Christmas in Indonesia? Provide a single answer without any explanations.",Makanan apa yang dikaitkan dengan Natal di Indonesia? Provide a single answer without any explanations.
Al-en-38,Makanan apa yang dikaitkan dengan hari Valentine di Indonesia?,What food is associated with Valentine's day in Indonesia?,"['cokelat', 'coklat', 'kue tart', 'es krim']","['chocolate', 'cake', 'ice cream']",Indonesia,What food is associated with Valentine's day in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what food is associated with Valentine's day in Indonesia? Provide a single answer without any explanations.",Makanan apa yang dikaitkan dengan hari Valentine di Indonesia? Provide a single answer without any explanations.
Al-en-39,Apa yang biasanya orang makan di hari ulang tahun mereka di Indonesia?,What do people eat on their birthday in Indonesia?,"['mie', 'mie goreng', 'bakmi', 'kue tart', 'kue ulang tahun', 'nasi kuning']","['noodle', 'fried noodle', 'indonesian noodle', 'cake', 'birthday cake', 'yellow rice']",Indonesia,What do people eat on their birthday in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what do people eat on their birthday in Indonesia? Provide a single answer without any explanations.",Apa yang biasanya orang makan di hari ulang tahun mereka di Indonesia? Provide a single answer without any explanations.
Al-en-40,Apa tempat luar ruangan yang populer bagi keluarga untuk bersenang-senang bersama anak-anak kecil di Indonesia?,What is a popular outdoor place for families to have fun with little kids in Indonesia?,"['pantai', 'kolam renang', 'taman', 'taman hiburan']","['beach', 'swimming pool', 'park', 'amusement park']",Indonesia,What is a popular outdoor place for families to have fun with little kids in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is a popular outdoor place for families to have fun with little kids in Indonesia? Provide a single answer without any explanations.",Apa tempat luar ruangan yang populer bagi keluarga untuk bersenang-senang bersama anak-anak kecil di Indonesia? Provide a single answer without any explanations.
Al-en-43,Apa kegiatan dalam ruangan yang populer untuk keluarga di Indonesia?,What is a popular indoor activity for families in Indonesia?,"['menonton tv', 'menonton tv bersama', 'nonton tv', 'nonton tv bersama', 'makan', 'makan bersama', 'kumpul keluarga besar', 'reuni keluarga besar', 'ulang tahun', 'perkawinan', 'pernikahan']","['watching tv', 'warching tv together', 'watch tv', 'watch tv together', 'eating', 'eat', 'eat together', 'eating together', 'big family reunion', 'big family gathering', 'extended family gathering', 'extended family reunion', 'birthday', 'wedding']",Indonesia,What is a popular indoor activity for families in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is a popular indoor activity for families in Indonesia? Provide a single answer without any explanations.",Apa kegiatan dalam ruangan yang populer untuk keluarga di Indonesia? Provide a single answer without any explanations.
An-ar-02,Di mana mahasiswa universitas makan siang di Indonesia?,Where do university students have lunch in Indonesia?,"['di kantin', 'kantin', 'di warung', 'warung']","['canteen', 'cafeteria', 'stall', 'food stall']",Indonesia,Where do university students have lunch in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, where do university students have lunch in Indonesia? Provide a single answer without any explanations.",Di mana mahasiswa universitas makan siang di Indonesia? Provide a single answer without any explanations.
An-ar-03,Bulan berapa biasanya jadwal ujian akhir semester di sekolah menengah atas di Indonesia? (Berikan hanya angka Arab (1~12).),Which month is the final exam term usually scheduled at high schools in Indonesia? (Provide Arabic numerals (1~12) only.),"['6', '5', '11', '1']","['6', '5', '11', '1']",Indonesia,Which month is the final exam term usually scheduled at high schools in Indonesia? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.,"As a person from Indonesia, which month is the final exam term usually scheduled at high schools in Indonesia? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.",Bulan berapa biasanya jadwal ujian akhir semester di sekolah menengah atas di Indonesia? (Berikan hanya angka Arab (1~12).) Provide a single answer without any explanations.
An-ar-08,"Berapa jam dalam sehari biasanya siswa di Indonesia menghabiskan waktu di sekolah menengah atas? (Gunakan angka Arab dalam bilangan bulat (0~24), tanpa titik desimal.)","How many hours a day do students in Indonesia usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","['8', '5', '6', '7']","['8', '5', '6', '7']",Indonesia,"How many hours a day do students in Indonesia usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.) Provide a single answer without any explanations.","As a person from Indonesia, how many hours a day do students in Indonesia usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.) Provide a single answer without any explanations.","Berapa jam dalam sehari biasanya siswa di Indonesia menghabiskan waktu di sekolah menengah atas? (Gunakan angka Arab dalam bilangan bulat (0~24), tanpa titik desimal.) Provide a single answer without any explanations."
An-ar-09,"Berapa banyak bahasa yang dipelajari oleh siswa di sekolah menengah atas di Indonesia? (Berikan angka Arab (misalnya, 5) saja.)","How many languages do students study at high school in Indonesia? (Provide Arabic numerals (e.g., 5) only.)","['3', '2']","['3', '2']",Indonesia,"How many languages do students study at high school in Indonesia? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","As a person from Indonesia, how many languages do students study at high school in Indonesia? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","Berapa banyak bahasa yang dipelajari oleh siswa di sekolah menengah atas di Indonesia? (Berikan angka Arab (misalnya, 5) saja.) Provide a single answer without any explanations."
An-ar-34,Apa olahraga tim paling populer yang dimainkan di sekolah-sekolah di Indonesia?,What is the most popular sport played in a team at school in Indonesia?,"['sepakbola', 'sepak bola', 'bola basket', 'basket', 'voli', 'bola voli', 'badminton', 'bulutangkis', 'bulu tangkis']","['soccer', 'football', 'basketball', 'voleyball', 'badminton']",Indonesia,What is the most popular sport played in a team at school in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is the most popular sport played in a team at school in Indonesia? Provide a single answer without any explanations.",Apa olahraga tim paling populer yang dimainkan di sekolah-sekolah di Indonesia? Provide a single answer without any explanations.
An-ar-35,Siapa komentator olahraga paling populer di Indonesia?,Who is the most popular sport commentator in Indonesia?,"['bang valent', 'valentino', 'bung jebret', 'bang valen', 'valentino simanjuntak', 'bung sambas', 'sambas', 'sambas mangundikarta']","['valentino simanjuntak', 'sambas']",Indonesia,Who is the most popular sport commentator in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, who is the most popular sport commentator in Indonesia? Provide a single answer without any explanations.",Siapa komentator olahraga paling populer di Indonesia? Provide a single answer without any explanations.
An-ar-36,Apa tim olahraga paling populer di Indonesia?,What is the most popular sport team in Indonesia?,"['persija jakarta', 'persija', 'tim nasional bulutangkis', 'timnas bulutangkis', 'tim nasional badminton', 'tim nasional bulu tangkis', 'timnas bulu tangkis', 'timnas badminton', 'timnas sepak bola', 'tim nasional sepak bola', 'bali united', 'arema', 'arema malang']","['persija', 'badminton', 'soccer', 'football', 'bali united', 'arema']",Indonesia,What is the most popular sport team in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is the most popular sport team in Indonesia? Provide a single answer without any explanations.",Apa tim olahraga paling populer di Indonesia? Provide a single answer without any explanations.
An-ar-43,Apa saja tempat atau lokasi umum di mana orang-orang di Indonesia biasanya berkumpul untuk menonton siaran olahraga?,What are the common places or venues where individuals in Indonesia usually gather to watch sports broadcasts?,"['warung', 'kedai', 'cafe', 'kedai kopi', 'pendopo', 'lapangan', 'rumah warga', 'pos kamling']","['stall', 'food stall', 'shop', 'cafe', 'pavilion', 'field', 'house', 'residential house', 'security post']",Indonesia,What are the common places or venues where individuals in Indonesia usually gather to watch sports broadcasts? Provide a single answer without any explanations.,"As a person from Indonesia, what are the common places or venues where individuals in Indonesia usually gather to watch sports broadcasts? Provide a single answer without any explanations.",Apa saja tempat atau lokasi umum di mana orang-orang di Indonesia biasanya berkumpul untuk menonton siaran olahraga? Provide a single answer without any explanations.
Ca-sp-05,"Berapa kali makan dalam sehari yang biasanya dilakukan oleh orang Indonesia? (Berikan angka numerik Arab saja (contoh, 5).)","How many meals per day do people from Indonesia usually have? (Provide Arabic numerals (e.g., 5) only.)",['3'],['3'],Indonesia,"How many meals per day do people from Indonesia usually have? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","As a person from Indonesia, how many meals per day do people from Indonesia usually have? (Provide Arabic numerals (e.g., 5) only.) Provide a single answer without any explanations.","Berapa kali makan dalam sehari yang biasanya dilakukan oleh orang Indonesia? (Berikan angka numerik Arab saja (contoh, 5).) Provide a single answer without any explanations."
Ca-sp-06,Manakah waktu makan yang paling penting dalam sehari bagi orang-orang Indonesia?,Which is the most important meal of the day to people from Indonesia?,"['makan siang', 'makan pagi', 'sarapan', 'makan malam']","['lunch', 'breakfast', 'dinner']",Indonesia,Which is the most important meal of the day to people from Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, which is the most important meal of the day to people from Indonesia? Provide a single answer without any explanations.",Manakah waktu makan yang paling penting dalam sehari bagi orang-orang Indonesia? Provide a single answer without any explanations.
Ca-sp-08,Apa bahan makanan yang paling sering digunakan dalam diet masyarakat Indonesia?,What is the most common ingredient used in Indonesia's diet?,"['nasi', 'beras', 'nasi merah', 'roti']","['rice', 'brown rice', 'bread']",Indonesia,What is the most common ingredient used in Indonesia's diet? Provide a single answer without any explanations.,"As a person from Indonesia, what is the most common ingredient used in Indonesia's diet? Provide a single answer without any explanations.",Apa bahan makanan yang paling sering digunakan dalam diet masyarakat Indonesia? Provide a single answer without any explanations.
Ca-sp-09,Apa yang biasanya dimakan orang Indonesia untuk makanan penutup?,What do people from Indonesia usually eat for dessert?,"['cendol', 'buah-buahan', 'es teler', 'sup', 'makanan manis', 'es krim', 'puding', 'es campur', 'martabak manis']","['cendol', 'fruits', 'es teler', 'soup', 'sweets', 'ice cream', 'pudding', 'es campur', 'sweet martabak', 'indonesian sweet pancake']",Indonesia,What do people from Indonesia usually eat for dessert? Provide a single answer without any explanations.,"As a person from Indonesia, what do people from Indonesia usually eat for dessert? Provide a single answer without any explanations.",Apa yang biasanya dimakan orang Indonesia untuk makanan penutup? Provide a single answer without any explanations.
Ca-sp-11,Hari apa dalam seminggu orang biasanya mengadakan makan bersama keluarga di Indonesia?,Which day of the week do people usually organize a family meal in Indonesia?,"['sabtu', 'minggu', 'jumat']","['saturday', 'sunday', 'friday']",Indonesia,Which day of the week do people usually organize a family meal in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, which day of the week do people usually organize a family meal in Indonesia? Provide a single answer without any explanations.",Hari apa dalam seminggu orang biasanya mengadakan makan bersama keluarga di Indonesia? Provide a single answer without any explanations.
Ca-sp-14,Minuman panas apa yang paling populer di Indonesia?,Which is the most popular hot drink in Indonesia?,"['kopi', 'teh panas', 'teh', 'sekoteng', 'teh jahe', 'bandrek']","['coffee', 'hot tea', 'tea', 'sekoteng', 'ginger tea', 'bandrek']",Indonesia,Which is the most popular hot drink in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, which is the most popular hot drink in Indonesia? Provide a single answer without any explanations.",Minuman panas apa yang paling populer di Indonesia? Provide a single answer without any explanations.
Ca-sp-19,Apa yang biasanya diminum oleh anak muda dari Indonesia di klub malam?,What do young people from Indonesia usually drink at the night club?,"['bir', 'anggur', 'alkohol', 'vodka', 'soju', 'shots']","['beer', 'wine', 'alcohol', 'vodka', 'soju', 'shots']",Indonesia,What do young people from Indonesia usually drink at the night club? Provide a single answer without any explanations.,"As a person from Indonesia, what do young people from Indonesia usually drink at the night club? Provide a single answer without any explanations.",Apa yang biasanya diminum oleh anak muda dari Indonesia di klub malam? Provide a single answer without any explanations.
Ca-sp-21,Pada bulan apa orang biasanya mengambil liburan di Indonesia? (Berikan angka Arab (1~12) saja.),At which month do people usually take holidays in Indonesia? (Provide Arabic numerals (1~12) only.),"['12', '3', '1']","['12', '3', '1']",Indonesia,At which month do people usually take holidays in Indonesia? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.,"As a person from Indonesia, at which month do people usually take holidays in Indonesia? (Provide Arabic numerals (1~12) only.) Provide a single answer without any explanations.",Pada bulan apa orang biasanya mengambil liburan di Indonesia? (Berikan angka Arab (1~12) saja.) Provide a single answer without any explanations.
Ca-sp-29,Apa tradisi yang ada di Indonesia untuk Malam Tahun Baru?,What tradition is there in Indonesia for New Year's Eve?,"['petasan', 'main kembang api', 'menyalakan kembang api', 'kembang api', 'barbecue', 'bakar-bakar', 'bergadang', 'nongkrong', 'berkumpul dengan keluarga']","['set off firecrackers', 'play with firecrackers', 'firecrackers', 'play with fireworks', 'set off fireworks', 'fireworks', 'barbecue', 'barbecuing', 'grilling', 'stay up late', 'hang out', 'gather with family']",Indonesia,What tradition is there in Indonesia for New Year's Eve? Provide a single answer without any explanations.,"As a person from Indonesia, what tradition is there in Indonesia for New Year's Eve? Provide a single answer without any explanations.",Apa tradisi yang ada di Indonesia untuk Malam Tahun Baru? Provide a single answer without any explanations.
Ca-sp-38,Apa jenis rumah yang biasa untuk sebuah keluarga di Indonesia?,Which is the typical type of house for a family in Indonesia?,"['rumah tapak', 'ruko']","['house', 'landed house', 'shophouse']",Indonesia,Which is the typical type of house for a family in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, which is the typical type of house for a family in Indonesia? Provide a single answer without any explanations.",Apa jenis rumah yang biasa untuk sebuah keluarga di Indonesia? Provide a single answer without any explanations.
Ca-sp-41,Di mana para lansia yang membutuhkan bantuan biasanya tinggal di Indonesia?,Where do the dependent elderly usually live in Indonesia?,"['panti jompo', 'panti lansia', 'posyandu lanjut usia', 'rumah jompo']",['nursing home'],Indonesia,Where do the dependent elderly usually live in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, where do the dependent elderly usually live in Indonesia? Provide a single answer without any explanations.",Di mana para lansia yang membutuhkan bantuan biasanya tinggal di Indonesia? Provide a single answer without any explanations.
Ca-sp-42,"Berapa lama (dalam minggu) cuti hamil di Indonesia untuk ibu? (Hanya berikan angka Arab (misalnya, 20).)","How long (in weeks) is Indonesia's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","['12', '10', '13', '5', '6']","['12', '10', '13', '5', '6']",Indonesia,"How long (in weeks) is Indonesia's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","As a person from Indonesia, how long (in weeks) is Indonesia's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","Berapa lama (dalam minggu) cuti hamil di Indonesia untuk ibu? (Hanya berikan angka Arab (misalnya, 20).) Provide a single answer without any explanations."
Ca-sp-43,"Berapa lama (dalam minggu) cuti paternitas di Indonesia untuk ayah? (Hanya berikan angka Arab (misalnya, 20).)","How long (in weeks) is Indonesia's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","['40', '7', '10', '0']","['40', '7', '10', '0']",Indonesia,"How long (in weeks) is Indonesia's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","As a person from Indonesia, how long (in weeks) is Indonesia's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.) Provide a single answer without any explanations.","Berapa lama (dalam minggu) cuti paternitas di Indonesia untuk ayah? (Hanya berikan angka Arab (misalnya, 20).) Provide a single answer without any explanations."
Ca-sp-45,Jenis destinasi apa yang biasanya dipilih untuk liburan keluarga di Indonesia?,What type of destination is commonly chosen for a family vacation in Indonesia?,"['pantai', 'pegunungan', 'taman bermain anak', 'kampung', 'kampung halaman', 'pulang kampung']","['beach', 'mountain', ""children's playground"", 'return to hometown', 'hometown']",Indonesia,What type of destination is commonly chosen for a family vacation in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what type of destination is commonly chosen for a family vacation in Indonesia? Provide a single answer without any explanations.",Jenis destinasi apa yang biasanya dipilih untuk liburan keluarga di Indonesia? Provide a single answer without any explanations.
Gu-ch-05,Olahraga apa yang paling disukai oleh orang tua di Indonesia?,What sports do seniors like the most in Indonesia?,"['bulutangkis', 'badminton', 'bulu tangkis', 'senam', 'sepakbola', 'sepak bola', 'jalan kaki', 'catur']","['badminton', 'gymnastics', 'soccer', 'football', 'walking', 'walk', 'chess']",Indonesia,What sports do seniors like the most in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what sports do seniors like the most in Indonesia? Provide a single answer without any explanations.",Olahraga apa yang paling disukai oleh orang tua di Indonesia? Provide a single answer without any explanations.
Gu-ch-06,Olahraga apa yang paling disukai untuk dimainkan oleh pria di Indonesia?,What sports do men like to play the most in Indonesia?,"['sepakbola', 'sepak bola', 'bola basket', 'basket', 'bulutangkis', 'badminton', 'bulu tangkis']","['soccer', 'football', 'basketball', 'badminton']",Indonesia,What sports do men like to play the most in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what sports do men like to play the most in Indonesia? Provide a single answer without any explanations.",Olahraga apa yang paling disukai untuk dimainkan oleh pria di Indonesia? Provide a single answer without any explanations.
Gu-ch-07,Siapa pemain bola basket paling terkenal di Indonesia?,Who is the most famous basketball player in Indonesia?,"['denny sumargo', 'ali budimansyah', 'rony gunawan']","['denny sumargo', 'ali budimansyah', 'rony gunawan']",Indonesia,Who is the most famous basketball player in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, who is the most famous basketball player in Indonesia? Provide a single answer without any explanations.",Siapa pemain bola basket paling terkenal di Indonesia? Provide a single answer without any explanations.
Gu-ch-08,Apa olahraga paling populer di kalangan anak-anak di Indonesia?,What is the most popular sports among children in Indonesia?,"['sepakbola', 'sepak bola', 'bola basket', 'basket', 'badminton', 'bulutangkis', 'bulu tangkis']","['soccer', 'football', 'basketball', 'badminton']",Indonesia,What is the most popular sports among children in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what is the most popular sports among children in Indonesia? Provide a single answer without any explanations.",Apa olahraga paling populer di kalangan anak-anak di Indonesia? Provide a single answer without any explanations.
Gu-ch-09,Olahraga apa yang paling disukai untuk dimainkan oleh wanita di Indonesia?,What sports do women like to play the most in Indonesia?,"['batminton', 'badminton', 'bulutangkis', 'bulu tangkis', 'yoga', 'bola voli', 'renang', 'berenang', 'tenis']","['badminton', 'yoga', 'volleyball', 'swim', 'tennis']",Indonesia,What sports do women like to play the most in Indonesia? Provide a single answer without any explanations.,"As a person from Indonesia, what sports do women like to play the most in Indonesia? Provide a single answer without any explanations.",Olahraga apa yang paling disukai untuk dimainkan oleh wanita di Indonesia? Provide a single answer without any explanations.
